gene.ID,geneID_UCSC,gene.name,chrom,strand,Tx.start,Tx.end,TSS
mm10-44,NM_001011873,Xkr9,chr1,+,13668770,13701723,13668770
mm10-45,NR_004447,Gm5523,chr1,-,13785684,13786929,13786929
mm10-46,"NM_010164,NM_001252192,NM_001310459",Eya1,chr1,-,14168957,14310199,14310199
mm10-47,NM_010827,Msc,chr1,-,14753345,14755966,14755966
mm10-48,NM_177781,Trpa1,chr1,-,14872647,14918862,14918862
mm10-49,NM_001098528,Kcnb2,chr1,+,15312451,15714214,15312451
mm10-50,"NM_009352,NM_001286628",Terf1,chr1,+,15805645,15844052,15805645
mm10-51,NM_001033288,Sbspon,chr1,-,15853861,15892722,15892722
mm10-52,"NM_001305227,NM_001243238",4930444P10Rik,chr1,-,16065978,16093325,16093325
mm10-53,NM_011291,Rpl7,chr1,-,16101295,16104433,16104433
mm10-54,NM_133832,Rdh10,chr1,+,16105881,16132550,16105881
mm10-55,"NM_025303,NM_001111272",Stau2,chr1,-,16228809,16519302,16519302
mm10-56,"NM_001271016,NM_001271017,NM_025773,NR_073122",Ube2w,chr1,-,16540787,16619338,16619338
mm10-57,"NM_026456,NM_001310470",Tceb1,chr1,-,16641724,16657119,16657119
mm10-58,NR_037998,D030040B21Rik,chr1,+,16657551,16662278,16657551
mm10-59,"NM_027415,NM_026392",Tmem70,chr1,+,16665190,16678275,16665190
mm10-60,"NM_001159711,NM_016923",Ly96,chr1,+,16688455,16709605,16688455
mm10-61,NM_020604,Jph1,chr1,-,16994939,17097889,17097889
mm10-62,NM_010267,Gdap1,chr1,+,17145372,17164270,17145372
mm10-63,NM_053191,Pi15,chr1,+,17601900,17630939,17601900
mm10-64,NR_130314,Gm16070,chr1,-,17676026,17727646,17727646
mm10-65,NM_031402,Crispld1,chr1,+,17727416,17766207,17727416
mm10-66,NM_030033,Crisp4,chr1,-,18115190,18137051,18137051
mm10-67,NR_002879,Defb44-ps,chr1,-,18210052,18223564,18223564
mm10-68,NM_001039123,Defb18,chr1,-,18236472,18237443,18237443
mm10-69,"NM_183124,NM_001040027",Defb41,chr1,-,18250977,18265138,18265138
mm10-70,NM_153154,Tfap2d,chr1,+,19103021,19166332,19103021
mm10-71,"NM_009334,NM_001286340,NM_001025305",Tfap2b,chr1,+,19208913,19238845,19208913
mm10-72,NM_153179,Pkhd1,chr1,-,20057778,20618057,20618057
mm10-73,NR_045734,4930486I03Rik,chr1,+,20356453,20392300,20356453
mm10-74,NR_131249,Linc-md1,chr1,+,20669881,20682958,20669881
mm10-75,NR_029593,Mir206,chr1,+,20679009,20679082,20679009
mm10-76,NR_029902,Mir133b,chr1,+,20682768,20682887,20682768
mm10-77,NM_010552,Il17a,chr1,+,20730904,20734496,20730904
mm10-78,NM_145856,Il17f,chr1,-,20777145,20784270,20784270
mm10-79,NM_008563,Mcm3,chr1,-,20803013,20820213,20820213
mm10-80,NR_040492,6720483E21Rik,chr1,-,20888649,20890473,20890473
mm10-81,NM_028829,Paqr8,chr1,+,20890621,20938756,20890621
mm10-82,NM_027974,Efhc1,chr1,+,20951625,20990841,20951625
mm10-83,NM_177409,Tram2,chr1,-,21001396,21079225,21079225
mm10-84,"NM_001290679,NM_029398",Tmem14a,chr1,+,21218574,21230167,21218574
mm10-85,"NM_001288617,NM_010356,NM_001077353",Gsta3,chr1,+,21240584,21265575,21240584
mm10-86,NR_002858,Gm4956,chr1,-,21285245,21298312,21298312
mm10-87,NM_183322,Khdc1a,chr1,+,21349676,21352199,21349676
mm10-88,NM_001033904,Khdc1c,chr1,+,21368330,21369743,21368330
mm10-89,NM_001113187,Khdc1b,chr1,+,21383555,21386384,21383555
mm10-90,"NM_023872,NM_001160139,NM_001310477",Kcnq5,chr1,-,21398398,21962650,21962650
mm10-91,"NM_183018,NM_053270,NM_001012625,NM_001012624,NM_001012623",Rims1,chr1,-,22288421,22805724,22805724
mm10-92,NM_025746,4933415F23Rik,chr1,-,23100473,23102253,23102253
mm10-93,NR_029533,Mir30a,chr1,+,23272268,23272339,23272268
mm10-94,NR_029717,Mir30c-2,chr1,+,23291700,23291784,23291700
mm10-95,NM_001081079,Ogfrl1,chr1,-,23366423,23383175,23383175
mm10-96,NM_172124,B3gat2,chr1,+,23761925,23847858,23761925
mm10-97,"NM_028534,NM_001290683,NR_110972",Smap1,chr1,-,23844824,23922381,23922381
mm10-98,NM_026503,Sdhaf4,chr1,-,23995938,24005640,24005640
mm10-99,NM_026604,Fam135a,chr1,-,24010757,24100341,24100341
mm10-100,"NM_001290691,NM_007740",Col9a1,chr1,+,24177609,24252738,24177609
mm10-101,NM_007733,Col19a1,chr1,-,24257682,24587437,24587437
mm10-102,"NM_026719,NM_001310483",Lmbrd1,chr1,+,24678543,24766301,24678543
mm10-103,NM_175642,Adgrb3,chr1,-,25067475,25829707,25829707
mm10-104,NM_001204913,Gm20172,chr1,-,25276403,25277954,25277954
mm10-105,NM_001033764,4931408C20Rik,chr1,-,26681800,26687460,26687460
mm10-106,NM_001013750,Gm597,chr1,-,28776121,28780252,28780252
mm10-107,NR_105760,Mir6342,chr1,+,29421487,29421612,29421487
mm10-108,NM_001081080,Phf3,chr1,-,30802341,30863256,30863256
mm10-109,NM_011200,Ptp4a1,chr1,-,30940302,30949755,30949755
mm10-110,NR_002688,Gm13363,chr1,-,30941591,30949710,30949710
mm10-111,NR_136907,Gm29669,chr1,-,31019187,31096454,31096454
mm10-112,NR_033445,4931428L18Rik,chr1,-,31141077,31222656,31222656
mm10-113,NM_153601,Lgsn,chr1,+,31176434,31204725,31176434
mm10-114,NM_029062,Pih1d3,chr1,+,31222838,31224287,31222838
mm10-115,NR_015347,Gm4850,chr1,+,31264846,31268061,31264846
mm10-116,NM_133235,Khdrbs2,chr1,+,32172805,32657738,32172805
mm10-117,NM_001199956,Gm9839,chr1,-,32519562,32520999,32520999
mm10-118,NM_001164286,Gm5415,chr1,-,32543545,32547293,32547293
mm10-119,NM_008922,Prim2,chr1,-,33453807,33669794,33669794
mm10-120,NR_033199,1700001G17Rik,chr1,+,33669823,33670712,33669823
mm10-121,"NM_001159729,NM_008999",Rab23,chr1,+,33719895,33742564,33719895
mm10-122,NM_145392,Bag2,chr1,-,33745483,33757750,33757750
mm10-123,"NM_001290699,NM_001290700,NM_133817",Zfp451,chr1,-,33761540,33814595,33814595
mm10-124,NM_001161816,Gm15455,chr1,-,33835898,33838914,33838914
mm10-125,"NM_001310484,NM_177235",Bend6,chr1,-,33852051,33907767,33907767
mm10-126,"NM_134448,NM_001276764,NM_010081,NM_133833",Dst,chr1,+,33908224,34308662,33908224
mm10-127,NR_105861,Mir6896,chr1,+,34117358,34117431,34117358
mm10-128,NR_039562,Mir5103,chr1,-,34433120,34433199,34433199
mm10-129,NM_027159,Ccdc115,chr1,-,34436669,34439672,34439672
mm10-130,NM_178601,Imp4,chr1,+,34439828,34445747,34439828
mm10-131,NM_011206,Ptpn18,chr1,+,34459745,34473779,34459745
mm10-132,NM_009355,Prss39,chr1,+,34498429,34503062,34498429
mm10-133,NM_007685,Cfc1,chr1,+,34535647,34544311,34535647
mm10-134,NM_009356,Prss40,chr1,-,34552330,34560943,34560943
mm10-135,NM_213727,Amer3,chr1,+,34579692,34590944,34579692
mm10-136,NR_033627,AA619741,chr1,-,34633534,34636210,34636210
mm10-137,NM_183019,Arhgef4,chr1,+,34801721,34812754,34801721
mm10-138,"NM_001160235,NM_001160236,NM_174997",Fam168b,chr1,-,34813217,34843050,34843050
mm10-139,"NM_175421,NM_145516",Plekhb2,chr1,+,34849958,34879585,34849958
mm10-140,NM_015818,Hs6st1,chr1,+,36068399,36106446,36068399
mm10-141,NM_198899,Uggt1,chr1,-,36140027,36244302,36244302
mm10-142,NR_105862,Mir6897,chr1,-,36144251,36144313,36144313
mm10-143,NM_153408,Neurl3,chr1,-,36264601,36273425,36273425
mm10-144,"NM_145996,NM_001290726,NM_001172206,NM_001172205,NM_001290727,NR_033310",Arid5a,chr1,+,36307732,36324029,36307732
mm10-145,"NM_172652,NM_001310513",Kansl3,chr1,-,36335729,36369181,36369181
mm10-146,NR_105863,Mir6898,chr1,-,36348681,36348758,36348758
mm10-147,NM_001277076,Fer1l5,chr1,+,36372290,36422110,36372290
mm10-148,"NM_001310517,NM_001013374",Lman2l,chr1,-,36423185,36445271,36445271
mm10-149,NM_033570,Cnnm4,chr1,+,36471596,36508776,36471596
mm10-150,"NM_001039551,NM_001331209,NM_053186",Cnnm3,chr1,+,36511866,36528236,36511866
mm10-151,"NM_153502,NM_001310521",Ankrd23,chr1,-,36530192,36536556,36536556
mm10-152,"NM_001310533,NM_026241,NR_132321",Ankrd39,chr1,-,36538170,36547252,36547252
mm10-153,"NM_001126047,NM_001304329,NM_001304330",Sema4c,chr1,-,36548638,36558381,36558381
mm10-154,"NM_201365,NM_027957,NM_001126046",Fam178b,chr1,-,36562695,36683183,36683183
mm10-155,NM_009942,Cox5b,chr1,+,36691486,36693388,36691486
mm10-156,NM_146107,Actr1b,chr1,-,36699201,36709925,36709925
mm10-157,NR_040290,4933424G06Rik,chr1,+,36714537,36757960,36714537
mm10-158,"NM_001289765,NM_009539,NM_001289766,NM_001289612",Zap70,chr1,+,36761797,36782820,36761797
mm10-159,NM_018872,Tmem131,chr1,-,36792188,36939527,36939527
mm10-160,"NM_009918,NM_001282010",Cnga3,chr1,+,37218277,37263384,37218277
mm10-161,"NM_001290798,NM_001290797,NM_030266,NM_001290799,NM_172971",Inpp4a,chr1,+,37299837,37410740,37299837
mm10-162,NM_198006,Coa5,chr1,-,37417084,37430103,37430103
mm10-163,NM_026123,Unc50,chr1,+,37430171,37439124,37430171
mm10-164,"NM_173870,NM_001290801",Mgat4a,chr1,-,37439339,37541016,37541016
mm10-165,NR_024017,4930594C11Rik,chr1,-,37485850,37488605,37488605
mm10-166,NM_028096,2010300C02Rik,chr1,-,37611675,37719811,37719811
mm10-167,"NM_001290720,NM_001290721,NM_207228,NR_110976",Tsga10,chr1,-,37754571,37865298,37865298
mm10-168,NM_001037918,Lipt1,chr1,+,37872205,37876298,37872205
mm10-169,NM_026913,Mitd1,chr1,-,37878889,37890411,37890411
mm10-170,NM_027098,Mrpl30,chr1,+,37890552,37898333,37890552
mm10-171,NM_001033427,Lyg2,chr1,-,37905922,37916493,37916493
mm10-172,NM_027111,Lyg1,chr1,-,37946737,37957759,37957759
mm10-173,NM_172054,Txndc9,chr1,-,37983866,37997208,37997208
mm10-174,NM_198303,Eif5b,chr1,+,37998009,38055579,37998009
mm10-175,NM_019570,Rev1,chr1,-,38052785,38129662,38129662
mm10-176,NM_001290814,Aff3,chr1,-,38175990,38627244,38627244
mm10-177,NM_001029878,Lonrf2,chr1,-,38794508,38821215,38821215
mm10-178,NM_145142,Chst10,chr1,-,38863872,38898160,38898160
mm10-179,"NM_001311788,NM_001011684",Nms,chr1,+,38939148,38950276,38939148
mm10-180,NM_026850,Pdcl3,chr1,+,38987813,38997236,38987813
mm10-181,NR_105767,Mir6349,chr1,-,39186895,39186992,39186992
mm10-182,NM_008719,Npas2,chr1,+,39194271,39363240,39194271
mm10-183,"NM_001252218,NM_001252219,NM_053257",Rpl31,chr1,+,39367850,39371910,39367850
mm10-184,NM_018775,Tbc1d8,chr1,-,39371495,39478747,39478747
mm10-185,NM_028043,Cnot11,chr1,+,39535801,39546877,39535801
mm10-186,NR_028555,Snord89,chr1,-,39548746,39548840,39548840
mm10-187,NM_001033135,Rnf149,chr1,-,39551295,39577347,39577347
mm10-188,NM_170597,Creg2,chr1,-,39618405,39651182,39651182
mm10-189,NM_001145660,Rfx8,chr1,-,39665300,39720989,39720989
mm10-190,NM_001177348,Gm3646,chr1,-,39804140,39805332,39805332
mm10-191,NR_040465,1700066B17Rik,chr1,-,39842427,39847330,39847330
mm10-192,"NM_001252201,NM_001252200,NM_008696,NM_001252202",Map4k4,chr1,+,39900912,40026310,39900912
mm10-193,NR_037980,Gm16894,chr1,-,40076211,40085851,40085851
mm10-194,NM_010555,Il1r2,chr1,+,40084767,40125226,40084767
mm10-195,"NM_008362,NM_001123382",Il1r1,chr1,+,40225079,40316177,40225079
mm10-196,NM_133193,Il1rl2,chr1,+,40324626,40365471,40324626
mm10-197,"NM_010743,NM_001294171,NM_001025602",Il1rl1,chr1,+,40429569,40465414,40429569
mm10-198,"NM_001161843,NM_001161842,NM_008365",Il18r1,chr1,+,40465551,40500854,40465551
mm10-199,NM_010553,Il18rap,chr1,+,40515361,40551705,40515361
mm10-200,NM_177084,Slc9a4,chr1,+,40580226,40630731,40580226
mm10-201,NM_001033289,Slc9a2,chr1,+,40681711,40768885,40681711
mm10-202,NM_172499,Mfsd9,chr1,-,40772039,40790657,40790657
mm10-203,NM_001081198,Tmem182,chr1,+,40805600,40855267,40805600
mm10-204,NR_040475,4930448I06Rik,chr1,-,41167559,41181252,41181252
mm10-205,NR_027826,Pantr1,chr1,-,42648199,42694825,42694825
mm10-206,NM_008900,Pou3f3,chr1,+,42697145,42700209,42697145
mm10-207,NR_027891,2900092D14Rik,chr1,+,42700335,42703176,42700335
mm10-208,NR_110495,Pantr2,chr1,-,42707062,42713454,42713454
mm10-209,NR_130904,Dalir,chr1,+,42750711,42752886,42750711
mm10-210,NM_023514,Mrps9,chr1,+,42851232,42905683,42851232
mm10-211,NM_053107,Gpr45,chr1,+,42952871,43035449,42952871
mm10-212,NM_001013025,Tgfbrap1,chr1,-,43047268,43098622,43098622
mm10-213,NM_133818,AI597479,chr1,+,43098709,43115946,43098709
mm10-214,"NM_010212,NM_001289533",Fhl2,chr1,-,43123070,43196761,43196761
mm10-215,NM_010879,Nck2,chr1,+,43445750,43570518,43445750
mm10-216,NM_024283,1500015O10Rik,chr1,+,43730601,43742564,43730601
mm10-217,NM_026430,Uxs1,chr1,-,43750230,43827708,43827708
mm10-218,"NM_009418,NM_001310540",Tpp2,chr1,+,43933993,44003000,43933993
mm10-219,NM_001013799,Mettl21c,chr1,-,44009407,44020006,44020006
mm10-220,NM_029368,Tex30,chr1,-,44086616,44102388,44102388
mm10-221,NM_023645,Kdelc1,chr1,-,44106545,44118773,44118773
mm10-222,NM_144558,Bivm,chr1,+,44119967,44144771,44119967
mm10-223,NM_011729,Ercc5,chr1,+,44147743,44181260,44147743
mm10-224,NM_207281,Mettl21e,chr1,-,44204069,44218931,44218931
mm10-225,NM_028450,Gulp1,chr1,+,44551670,44796836,44551670
mm10-226,NR_040602,4930521E06Rik,chr1,-,44739674,44744949,44744949
mm10-227,NM_009930,Col3a1,chr1,+,45311537,45349706,45311537
mm10-228,NM_007737,Col5a2,chr1,-,45374330,45503282,45503282
mm10-229,NM_028599,Wdr75,chr1,+,45795500,45823613,45795500
mm10-230,NM_016917,Slc40a1,chr1,-,45908069,45925594,45925594
mm10-231,"NR_037691,NR_037690",Stk-ps2,chr1,-,46020414,46030437,46030437
mm10-232,NM_001160386,Dnah7b,chr1,+,46066737,46373550,46066737
mm10-233,NM_001310335,Dnah7c,chr1,+,46425517,46807477,46425517
mm10-234,NM_172653,Slc39a10,chr1,-,46807543,46853509,46853509
mm10-235,NR_105768,Mir6350,chr1,-,47467020,47467125,47467125
mm10-236,NM_019790,Tmeff2,chr1,+,50927522,51187270,50927522
mm10-237,NR_045151,9330175M20Rik,chr1,-,51218385,51333779,51333779
mm10-238,NM_138741,Sdpr,chr1,+,51289125,51302960,51289125
mm10-239,"NM_028696,NM_001310548,NM_001310549",Nabp1,chr1,-,51469487,51478399,51478399
mm10-240,"NM_001161817,NM_010863,NM_001290982",Myo1b,chr1,-,51749757,51915978,51915978
mm10-241,"NM_011487,NM_001308266",Stat4,chr1,+,51987147,52107189,51987147
mm10-242,"NM_001205314,NM_009283,NM_001205313",Stat1,chr1,+,52119437,52161865,52119437
mm10-243,"NM_001113383,NM_001081081",Gls,chr1,-,52163449,52233232,52233232
mm10-244,NM_008667,Nab1,chr1,-,52455848,52500448,52500448
mm10-245,"NM_001142647,NR_024590",Nemp2,chr1,+,52630704,52651919,52630704
mm10-246,"NM_178081,NM_133829",Mfsd6,chr1,-,52656304,52727318,52727318
mm10-247,NM_008384,Inpp1,chr1,-,52789419,52817688,52817688
mm10-248,NM_146108,Hibch,chr1,+,52845037,52920986,52845037
mm10-249,NM_144953,1700019D03Rik,chr1,-,52925126,52952840,52952840
mm10-250,NM_010834,Mstn,chr1,+,53061639,53068079,53061639
mm10-251,NM_027070,1700019A02Rik,chr1,-,53158576,53187617,53187617
mm10-252,NM_153556,Pms1,chr1,-,53189188,53297028,53297028
mm10-253,NM_145517,Ormdl1,chr1,+,53297094,53310245,53297094
mm10-254,"NM_001285839,NR_104361,NR_104360",Osgepl1,chr1,+,53313623,53326342,53313623
mm10-255,"NM_133728,NM_001290984",Asnsd1,chr1,-,53344616,53352752,53352752
mm10-256,NM_001252070,Dnah7a,chr1,-,53397001,53706784,53706784
mm10-257,NM_133810,Stk17b,chr1,-,53755511,53785215,53785215
mm10-258,"NM_172655,NM_001001883",Hecw2,chr1,-,53806873,54195034,54195034
mm10-259,NR_106149,Mir7681,chr1,+,53849423,53849495,53849423
mm10-260,NM_030025,Ccdc150,chr1,+,54250682,54368727,54250682
mm10-261,NM_001033194,Gtf3c3,chr1,-,54395876,54439026,54439026
mm10-262,NM_001163314,Pgap1,chr1,-,54472999,54557684,54557684
mm10-263,NM_001081433,Ankrd44,chr1,-,54645339,54926387,54926387
mm10-264,NM_031179,Sf3b1,chr1,-,54985169,55027478,55027478
mm10-265,"NM_026424,NM_001039710",Coq10b,chr1,+,55052769,55072702,55052769
mm10-266,NM_010477,Hspd1,chr1,-,55077833,55087932,55087932
mm10-267,NM_008303,Hspe1,chr1,+,55088147,55091317,55088147
mm10-268,"NM_025283,NM_001310585",Mob4,chr1,+,55131244,55154899,55131244
mm10-269,NM_028713,Rftn2,chr1,-,55170159,55226782,55226782
mm10-270,NM_175439,Mars2,chr1,+,55237176,55240058,55237176
mm10-271,"NM_029267,NM_001113367",Boll,chr1,-,55300068,55363469,55363469
mm10-272,NM_001114663,Plcl1,chr1,+,55405945,55754285,55405945
mm10-273,NR_045837,9130227L01Rik,chr1,+,55931240,55972098,55931240
mm10-274,"NR_126076,NR_126075",1700003I22Rik,chr1,+,56018977,56020203,56018977
mm10-275,NM_027661,Hsfy2,chr1,-,56636050,56637451,56637451
mm10-276,NM_139146,Satb2,chr1,-,56793980,56971334,56971334
mm10-277,"NR_024325,NR_024326",9130024F11Rik,chr1,+,56971468,56975196,56971468
mm10-278,NR_037990,BC055402,chr1,-,57200644,57214996,57214996
mm10-279,NR_037999,4930558J18Rik,chr1,-,57359221,57377544,57377544
mm10-280,NM_028546,1700066M21Rik,chr1,+,57377619,57385422,57377619
mm10-281,"NM_001037742,NM_001302964,NM_001302963,NM_001302962",Tyw5,chr1,-,57388243,57406674,57406674
mm10-282,NM_001081181,9430016H08Rik,chr1,+,57406547,57415958,57406547
mm10-283,"NM_144882,NM_001164566",Spats2l,chr1,+,57774860,57948397,57774860
mm10-284,"NR_027630,NM_001159865,NM_001159864",Kctd18,chr1,-,57955100,57970084,57970084
mm10-285,"NM_001177867,NM_199007",Sgol2a,chr1,+,57985339,58026277,57985339
mm10-286,NM_009676,Aox1,chr1,+,58029968,58106410,58029968
mm10-287,NM_023617,Aox3,chr1,+,58113135,58200452,58113135
mm10-288,NM_023631,Aox4,chr1,+,58210396,58268596,58210396
mm10-289,NM_001008419,Aox2,chr1,+,58278325,58379264,58278325
mm10-290,NM_025824,Bzw1,chr1,+,58393135,58406548,58393135
mm10-291,"NR_027854,NR_027853,NM_001042634",Clk1,chr1,-,58411987,58424088,58424088
mm10-292,"NM_027374,NM_027351,NM_001285827,NM_001285826",Ppil3,chr1,-,58430992,58445486,58445486
mm10-293,NM_022988,Nif3l1,chr1,+,58445150,58462276,58445150
mm10-294,"NM_001271526,NM_008765,NM_001025378",Orc2,chr1,-,58462770,58505109,58505109
mm10-295,"NM_172513,NM_001310598,NM_001310599",Fam126b,chr1,-,58522805,58586333,58586333
mm10-296,NM_025597,Ndufb3,chr1,+,58586396,58595964,58586396
mm10-297,NR_045007,Gm20257,chr1,+,58652640,58655831,58652640
mm10-298,NM_175370,Als2cr12,chr1,-,58658120,58695989,58695989
mm10-299,"NM_009805,NM_001289704,NM_207653,NM_001293804,NM_001293805",Cflar,chr1,+,58711490,58759209,58711490
mm10-300,"NM_009812,NM_001080126,NM_001277926",Casp8,chr1,+,58795373,58847503,58795373
mm10-301,NM_172406,Trak2,chr1,-,58900449,58973482,58973482
mm10-302,NM_172656,Stradb,chr1,+,58973570,58995121,58973570
mm10-303,NM_175200,Als2cr11,chr1,-,59050505,59094900,59094900
mm10-304,"NM_001033449,NM_001037812",Tmem237,chr1,-,59100592,59120096,59120096
mm10-305,"NM_145143,NM_001164682",Mpp4,chr1,-,59120934,59163389,59163389
mm10-306,"NM_146109,NM_001159948,NM_028717",Als2,chr1,-,59162755,59237231,59237231
mm10-307,NM_001033373,Cdk15,chr1,+,59256906,59352369,59256906
mm10-308,NM_008057,Fzd7,chr1,+,59482146,59486955,59482146
mm10-309,NM_001013771,Gm973,chr1,+,59516263,59634509,59516263
mm10-310,NM_009460,Sumo1,chr1,-,59639433,59670834,59670834
mm10-311,NM_018868,Nop58,chr1,+,59685005,59711510,59685005
mm10-312,NR_028554,Snord70,chr1,+,59691957,59692010,59691957
mm10-313,NR_028521,Snord11,chr1,+,59704807,59704870,59704807
mm10-314,NM_007561,Bmpr2,chr1,+,59764278,59878081,59764278
mm10-315,NM_001037725,Fam117b,chr1,+,59913005,59985348,59913005
mm10-316,"NM_001316694,NM_027407,NM_001316695",Ica1l,chr1,-,59989067,60043122,60043122
mm10-317,"NM_001199061,NM_001199060,NM_021312",Wdr12,chr1,-,60076867,60098500,60098500
mm10-318,"NM_001285473,NM_001285463,NM_139150,NR_104344",Carf,chr1,+,60098246,60153953,60098246
mm10-319,NM_173444,Nbeal1,chr1,+,60180598,60334705,60180598
mm10-320,"NM_030013,NM_001313721",Cyp20a1,chr1,+,60343299,60388060,60343299
mm10-321,"NM_198127,NM_001198571,NM_001198570",Abi2,chr1,+,60409618,60481163,60409618
mm10-322,NM_001045513,Raph1,chr1,-,60483184,60566765,60566765
mm10-323,NM_007642,Cd28,chr1,+,60746387,60773359,60746387
mm10-324,"NM_009843,NM_001281976",Ctla4,chr1,+,60909024,60915832,60909024
mm10-325,NM_017480,Icos,chr1,+,60977913,61000321,60977913
mm10-326,NR_040483,9530026F06Rik,chr1,+,61378431,61395904,61378431
mm10-327,NM_001081050,Pard3b,chr1,+,61638823,62642284,61638823
mm10-328,"NM_001077405,NM_001077403,NM_001077406,NM_001077407,NM_010939,NM_001077404",Nrp2,chr1,+,62703316,62818692,62703316
mm10-329,NR_040601,4930487H11Rik,chr1,-,62790917,62794732,62794732
mm10-330,"NM_001114609,NM_001081436",Ino80d,chr1,-,63047800,63114267,63114267
mm10-331,"NR_045915,NR_045914",Ino80dos,chr1,+,63114470,63158295,63114470
mm10-332,"NM_001160038,NM_001160039,NM_001160040,NM_145518",Ndufs1,chr1,-,63143591,63176822,63176822
mm10-333,NM_018796,Eef1b2,chr1,+,63176830,63180486,63176830
mm10-334,NR_028558,Snora41,chr1,+,63179022,63179135,63179022
mm10-335,NM_146250,Gpr1,chr1,-,63182570,63214281,63214281
mm10-336,"NM_028673,NM_001285937,NM_001285936,NM_001267872",Zdbf2,chr1,+,63200357,63314575,63200357
mm10-337,NM_011780,Adam23,chr1,+,63445890,63596101,63445890
mm10-338,NM_001081658,Dytn,chr1,-,63622850,63686927,63686927
mm10-339,NM_029696,Mdh1b,chr1,-,63698826,63730318,63730318
mm10-340,NM_172422,Fastkd2,chr1,+,63730624,63753385,63730624
mm10-341,NM_001256158,4933402D24Rik,chr1,-,63754908,63769267,63769267
mm10-342,NR_027824,Gm13749,chr1,+,63964726,63968999,63964726
mm10-343,NR_035484,Mir1958,chr1,-,63980972,63984483,63984483
mm10-344,NM_033563,Klf7,chr1,-,64035670,64121389,64121389
