tSNE1	tSNE2	cluster	cell_id
-12.97	-4.12	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03570_N03
-14.91	-0.23	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03687_N03
21.24	3.88	proB	Exp100-Sample1.all_Tn5-AAAGAA_BC03861_N05
-18.84	-7.78	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03897_N04
-7.36	1.85	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03962_N03
21.14	-16.17	Mono-2	Exp100-Sample1.all_Tn5-AAAGAA_BC04093_N05
-10.66	-7.65	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04121_N05
-0.41	20.93	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC04324_N03
-9.71	15.59	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC04379_N05
-3.97	22.72	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC04512_N04
-14.54	0.67	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04534_N04
-21	-0.27	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04612_N03
6.61	4	B	Exp100-Sample1.all_Tn5-AAAGAA_BC04623_N03
-8.3	14.46	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC04636_N05
15.86	-3.37	Mono-1	Exp100-Sample1.all_Tn5-AAAGAA_BC04642_N06
-23.46	3.75	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04841_N04
2.15	-4.71	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04870_N04
-4.76	-9.95	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC04986_N02
21.9	7.96	proB	Exp100-Sample1.all_Tn5-AACAGC_BC00081_N03
10.52	-22.9	Mono-2	Exp100-Sample1.all_Tn5-AACAGC_BC00111_N02
17.96	-17.38	Mono-2	Exp100-Sample1.all_Tn5-AACAGC_BC00343_N01
-0.01	-24.97	HSPC	Exp100-Sample1.all_Tn5-AACAGC_BC00652_N02
2.3	-24.75	HSPC	Exp100-Sample1.all_Tn5-AACAGC_BC00680_N03
18.31	-12.99	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC00757_N01
15.39	13.35	preB	Exp100-Sample1.all_Tn5-AACAGC_BC01039_N02
22.33	6.66	proB	Exp100-Sample1.all_Tn5-AACAGC_BC01343_N03
15.24	16.27	preB	Exp100-Sample1.all_Tn5-AACAGC_BC01410_N03
-20.77	-10.01	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC01484_N02
10.75	-8.87	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC01682_N02
8.13	5.51	B	Exp100-Sample1.all_Tn5-AACAGC_BC01741_N03
-8.3	26.77	NK	Exp100-Sample1.all_Tn5-AACAGC_BC01778_N02
-16.22	5.99	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC01801_N02
-17.62	4.16	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC01955_N02
-11.06	-4.98	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC01960_N01
-23.84	4.35	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02055_N03
-17.06	4.03	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02137_N02
7.26	13.37	preB	Exp100-Sample1.all_Tn5-AACAGC_BC02182_N01
7.07	17.55	preB	Exp100-Sample1.all_Tn5-AACAGC_BC02191_N02
-10.29	-13.75	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02249_N01
-4.17	26.8	NK	Exp100-Sample1.all_Tn5-AACAGC_BC02267_N02
15.5	18.11	preB	Exp100-Sample1.all_Tn5-AACAGC_BC02319_N02
-24.79	-5.9	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02332_N01
-17.6	13.85	CD8	Exp100-Sample1.all_Tn5-AACAGC_BC02341_N03
-12.38	3.27	CD8	Exp100-Sample1.all_Tn5-AACAGC_BC02389_N04
17.5	-7.31	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC02496_N03
-12.91	-11.67	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02585_N02
-0.72	-7.37	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02779_N02
0.57	23.4	NK	Exp100-Sample1.all_Tn5-AACAGC_BC02836_N03
7.48	11.05	preB	Exp100-Sample1.all_Tn5-AACAGC_BC02895_N04
-18.07	-16.8	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02975_N04
-17.53	-7.96	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC02995_N03
6.32	-8.87	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC03091_N03
-25.25	4.52	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC03115_N03
-7.68	14.7	CD8	Exp100-Sample1.all_Tn5-AACAGC_BC03190_N04
-6.38	28.93	NK	Exp100-Sample1.all_Tn5-AACAGC_BC03239_N03
8.21	6.85	preB	Exp100-Sample1.all_Tn5-AACAGC_BC03296_N01
-20.73	-1.95	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC03360_N04
6.21	11.94	preB	Exp100-Sample1.all_Tn5-AACAGC_BC03417_N02
10.89	2.04	B	Exp100-Sample1.all_Tn5-AACAGC_BC03638_N01
11.63	-11.94	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC03707_N02
1.37	-20.3	HSPC	Exp100-Sample1.all_Tn5-AACAGC_BC03790_N04
1.17	28.19	NK	Exp100-Sample1.all_Tn5-AACAGC_BC03850_N01
10.04	19.1	preB	Exp100-Sample1.all_Tn5-AACAGC_BC03891_N04
-14.69	16.2	CD8	Exp100-Sample1.all_Tn5-AACAGC_BC04109_N04
30.54	8.04	Ery-late	Exp100-Sample1.all_Tn5-AACAGC_BC04238_N04
30.59	7.49	Ery-late	Exp100-Sample1.all_Tn5-AACAGC_BC04311_N03
-1.36	3.26	CD4	Exp100-Sample1.all_Tn5-AACAGC_BC04437_N02
-14.61	15.38	CD8	Exp100-Sample1.all_Tn5-AACAGC_BC05089_N03
11.09	-11.72	Mono-1	Exp100-Sample1.all_Tn5-AACAGC_BC05702_N03
22.6	8.25	proB	Exp100-Sample1.all_Tn5-AACGTG_BC00339_N02
-0.88	-30.58	HSPC	Exp100-Sample1.all_Tn5-AACGTG_BC00371_N02
28.14	-0.69	Ery-early	Exp100-Sample1.all_Tn5-AACGTG_BC00564_N03
-5.02	-23.39	pDC	Exp100-Sample1.all_Tn5-AACGTG_BC00753_N02
31.29	6.35	Ery-late	Exp100-Sample1.all_Tn5-AACGTG_BC00916_N02
0.08	-20.32	CLP	Exp100-Sample1.all_Tn5-AACGTG_BC00929_N02
14.93	-16.65	Mono-2	Exp100-Sample1.all_Tn5-AACGTG_BC00938_N02
-0.52	-30.88	HSPC	Exp100-Sample1.all_Tn5-AACGTG_BC00992_N02
-18.41	9.49	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC01020_N01
11.81	8.34	preB	Exp100-Sample1.all_Tn5-AACGTG_BC01141_N02
15.42	-9.79	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC01164_N01
-17.35	-9.81	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC01273_N01
6.7	-13.18	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC01334_N01
-0.95	-26.37	HSPC	Exp100-Sample1.all_Tn5-AACGTG_BC01459_N03
10.18	-18.97	Mono-2	Exp100-Sample1.all_Tn5-AACGTG_BC01485_N04
9.43	12.29	preB	Exp100-Sample1.all_Tn5-AACGTG_BC01486_N01
-5.25	11.64	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC01551_N01
22.57	8.34	proB	Exp100-Sample1.all_Tn5-AACGTG_BC01659_N01
-23.1	-6.28	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC01850_N02
10.29	4.46	B	Exp100-Sample1.all_Tn5-AACGTG_BC01910_N01
26.65	-1.75	Ery-early	Exp100-Sample1.all_Tn5-AACGTG_BC01919_N03
17.51	-16.45	Mono-2	Exp100-Sample1.all_Tn5-AACGTG_BC01921_N01
-12.17	1.93	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC01977_N02
11.5	17.9	preB	Exp100-Sample1.all_Tn5-AACGTG_BC01978_N02
17.82	-13.22	Mono-2	Exp100-Sample1.all_Tn5-AACGTG_BC02115_N01
-14.42	0.92	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02169_N02
12.8	21	preB	Exp100-Sample1.all_Tn5-AACGTG_BC02261_N02
-10.58	-26.27	pDC	Exp100-Sample1.all_Tn5-AACGTG_BC02287_N03
-25.59	-10.35	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02301_N03
-8.42	21.58	NK	Exp100-Sample1.all_Tn5-AACGTG_BC02302_N02
-16.36	5.21	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02401_N02
28.8	-3.12	Ery-early	Exp100-Sample1.all_Tn5-AACGTG_BC02669_N04
13.69	-12.12	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC02673_N03
-13.35	-10	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02762_N02
-25.44	6.78	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02851_N02
-14.97	15.5	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC02928_N02
-8.01	26.03	NK	Exp100-Sample1.all_Tn5-AACGTG_BC02945_N02
-22.82	1.3	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC02968_N04
12.59	13.09	preB	Exp100-Sample1.all_Tn5-AACGTG_BC03014_N02
-10.3	11.34	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC03016_N03
-5.34	9.69	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC03019_N01
-12.19	-18.92	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03064_N04
-14.57	-1.2	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03068_N03
-12.99	-9.34	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03113_N03
17.13	-13.6	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC03167_N04
6.09	-14.21	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC03379_N03
-14.68	11.48	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03670_N01
8.43	-6.08	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC03797_N04
-0.4	-8.99	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03855_N02
-11.62	2.95	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC03955_N03
0.82	-0.31	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC04193_N02
12.99	8.54	preB	Exp100-Sample1.all_Tn5-AACGTG_BC04511_N03
-2.17	20.55	NK	Exp100-Sample1.all_Tn5-AACGTG_BC04563_N04
20.95	-16.25	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC04605_N04
5.37	7.27	preB	Exp100-Sample1.all_Tn5-AACGTG_BC04779_N05
13.44	-18.02	Mono-2	Exp100-Sample1.all_Tn5-AACGTG_BC04847_N03
19.2	-0.12	CLP	Exp100-Sample1.all_Tn5-AACGTG_BC04900_N04
7.47	-5.99	Mono-1	Exp100-Sample1.all_Tn5-AACGTG_BC04927_N03
-24.94	-1.99	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC04971_N03
-15.9	17.66	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC05064_N03
-15.04	8.97	CD8	Exp100-Sample1.all_Tn5-AACGTG_BC05317_N02
-18.44	-2.98	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC05319_N05
-8.05	-1.27	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC05419_N04
-15.32	9.62	CD4	Exp100-Sample1.all_Tn5-AACGTG_BC05666_N04
21.86	6.05	proB	Exp100-Sample1.all_Tn5-AAGCCA_BC00645_N02
-15.97	16.63	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC00995_N02
-1.37	-27.19	HSPC	Exp100-Sample1.all_Tn5-AAGCCA_BC01031_N03
-21.21	6.05	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC01042_N01
26.87	-2.48	Ery-early	Exp100-Sample1.all_Tn5-AAGCCA_BC01055_N02
-0.51	-30.02	HSPC	Exp100-Sample1.all_Tn5-AAGCCA_BC01253_N02
-23.35	8.99	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC01323_N01
-16.16	6.82	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC01489_N01
-9.92	-2.19	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC01531_N01
30.27	1.1	Ery-late	Exp100-Sample1.all_Tn5-AAGCCA_BC01964_N02
-15.94	-5	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC01965_N02
-17.64	10.46	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02023_N03
-12.05	16.91	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC02069_N02
-12	-2.53	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02088_N02
-19.52	11.28	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02107_N01
-10.48	18.57	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC02196_N02
-6.8	11.09	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC02257_N02
-9.94	4.13	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02356_N02
-8.81	-12.99	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02387_N04
11.83	19.92	preB	Exp100-Sample1.all_Tn5-AAGCCA_BC02424_N02
-15.2	16.74	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC02471_N03
18.18	-7.04	Mono-1	Exp100-Sample1.all_Tn5-AAGCCA_BC02570_N04
14.53	14.42	preB	Exp100-Sample1.all_Tn5-AAGCCA_BC02590_N03
18.18	-9.13	Mono-1	Exp100-Sample1.all_Tn5-AAGCCA_BC02645_N04
18.04	-10.53	Mono-1	Exp100-Sample1.all_Tn5-AAGCCA_BC02672_N02
-24.78	-5.33	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02693_N03
-19.88	0.49	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02737_N03
-1.44	-9.22	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02743_N01
-24.4	-6.09	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02813_N02
-12.32	1.65	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02919_N02
31.18	5.41	Ery-late	Exp100-Sample1.all_Tn5-AAGCCA_BC02993_N04
-23.65	1.52	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC02996_N03
10.95	17.79	preB	Exp100-Sample1.all_Tn5-AAGCCA_BC03089_N03
-21.15	6.96	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC03447_N03
-6.1	0.39	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC03575_N03
21.66	6.69	proB	Exp100-Sample1.all_Tn5-AAGCCA_BC03629_N02
-16.25	-14.17	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC03702_N03
-16.67	5.25	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC03813_N04
-4.54	28.6	NK	Exp100-Sample1.all_Tn5-AAGCCA_BC03844_N03
-17.93	-2.09	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC03929_N04
14.06	-11.68	Mono-2	Exp100-Sample1.all_Tn5-AAGCCA_BC03943_N04
-15.61	11.72	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC04027_N04
12.65	10.73	preB	Exp100-Sample1.all_Tn5-AAGCCA_BC04124_N02
-9.27	13.83	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC04290_N03
17.14	-15.59	Mono-2	Exp100-Sample1.all_Tn5-AAGCCA_BC04401_N04
0.83	25.67	NK	Exp100-Sample1.all_Tn5-AAGCCA_BC04458_N04
-1.09	26.84	NK	Exp100-Sample1.all_Tn5-AAGCCA_BC04548_N02
-10.46	17.53	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC04641_N05
-18.65	9.77	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC04650_N05
-18.44	-11.33	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC04903_N03
-20.87	12.86	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC05263_N02
-12.08	-18.79	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC05273_N04
-21.16	-6.49	CD4	Exp100-Sample1.all_Tn5-AAGCCA_BC05411_N04
-10.26	16.07	CD8	Exp100-Sample1.all_Tn5-AAGCCA_BC05461_N03
31.16	3.98	Ery-late	Exp100-Sample1.all_Tn5-AAGCCA_BC05857_N05
18.44	-15.35	Mono-2	Exp100-Sample1.all_Tn5-AAGTAT_BC00201_N01
23.12	4.27	proB	Exp100-Sample1.all_Tn5-AAGTAT_BC00207_N02
20.97	-0.87	CLP	Exp100-Sample1.all_Tn5-AAGTAT_BC00349_N01
0.58	-23.4	HSPC	Exp100-Sample1.all_Tn5-AAGTAT_BC00483_N03
-21.49	4.21	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC00502_N02
30.4	0.81	Ery-late	Exp100-Sample1.all_Tn5-AAGTAT_BC00628_N03
-11.19	16.18	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC00739_N02
12.71	20.9	preB	Exp100-Sample1.all_Tn5-AAGTAT_BC00804_N02
-4.98	9.1	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC00815_N01
2.11	-16.73	HSPC-ery	Exp100-Sample1.all_Tn5-AAGTAT_BC00882_N03
27.05	-6.5	Ery-early	Exp100-Sample1.all_Tn5-AAGTAT_BC00969_N04
-6.98	-23.84	pDC	Exp100-Sample1.all_Tn5-AAGTAT_BC01028_N03
-7.85	14.11	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC01160_N02
-6.59	-1.14	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC01417_N01
31.18	2.9	Ery-late	Exp100-Sample1.all_Tn5-AAGTAT_BC01428_N02
-9.39	13.02	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC01508_N02
-14.77	12.98	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC01616_N02
31.15	6.38	Ery-late	Exp100-Sample1.all_Tn5-AAGTAT_BC01826_N03
-7.15	-0.29	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC01869_N02
-20.94	0.18	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02015_N03
-5.62	-16.35	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02231_N01
-18.46	-0.68	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02276_N03
-12.3	11.39	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC02315_N03
-3.36	-7.79	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02361_N02
-24.76	-5.97	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02398_N03
-18.68	-2.33	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC02523_N03
1.75	-25.84	HSPC	Exp100-Sample1.all_Tn5-AAGTAT_BC02561_N04
31.66	5.71	Ery-late	Exp100-Sample1.all_Tn5-AAGTAT_BC02773_N02
-12.23	15.84	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC02855_N04
-17.22	-12.32	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03080_N02
-3.76	12.38	CD8	Exp100-Sample1.all_Tn5-AAGTAT_BC03132_N05
-8.74	2.12	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03262_N02
-12.25	-10.87	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03313_N04
-12.55	-8.58	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03419_N05
-14.66	0.5	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03557_N04
-6.17	-10.6	CD4	Exp100-Sample1.all_Tn5-AAGTAT_BC03757_N05
10.35	9.15	preB	Exp100-Sample1.all_Tn5-AAGTAT_BC03775_N03
8.69	12.48	preB	Exp100-Sample1.all_Tn5-AAGTAT_BC03889_N04
14.99	-20.84	Mono-2	Exp100-Sample1.all_Tn5-AAGTAT_BC04484_N02
29.69	0.35	Ery-early	Exp100-Sample1.all_Tn5-AAGTAT_BC05592_N04
-1.26	-26.33	HSPC	Exp100-Sample1.all_Tn5-AATTGG_BC00228_N02
26.37	-3.28	Ery-early	Exp100-Sample1.all_Tn5-AATTGG_BC00419_N04
14.87	12.69	preB	Exp100-Sample1.all_Tn5-AATTGG_BC00470_N01
-1.89	-27.3	HSPC	Exp100-Sample1.all_Tn5-AATTGG_BC00575_N02
7.72	10.38	preB	Exp100-Sample1.all_Tn5-AATTGG_BC00583_N01
-1.71	-27.39	HSPC	Exp100-Sample1.all_Tn5-AATTGG_BC00615_N03
-7.91	24.21	NK	Exp100-Sample1.all_Tn5-AATTGG_BC00886_N01
13.32	21.54	preB	Exp100-Sample1.all_Tn5-AATTGG_BC00939_N01
-9.39	-3.38	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC00996_N01
26.93	-1.64	Ery-early	Exp100-Sample1.all_Tn5-AATTGG_BC01033_N05
10.24	16.61	preB	Exp100-Sample1.all_Tn5-AATTGG_BC01059_N03
-6.68	29.4	NK	Exp100-Sample1.all_Tn5-AATTGG_BC01092_N02
16.15	13.28	preB	Exp100-Sample1.all_Tn5-AATTGG_BC01187_N02
25.42	-8.2	Ery-early	Exp100-Sample1.all_Tn5-AATTGG_BC01469_N02
-18.64	4.39	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC01547_N02
-10.04	-12.63	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC01600_N02
-8.01	24.71	NK	Exp100-Sample1.all_Tn5-AATTGG_BC01696_N02
-19.84	10.83	CD8	Exp100-Sample1.all_Tn5-AATTGG_BC01705_N02
-19.53	-1.01	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC01768_N04
-18.24	-10.93	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC01893_N02
15.84	13.14	preB	Exp100-Sample1.all_Tn5-AATTGG_BC01904_N03
-20.63	-9.75	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC01951_N02
15.91	19.9	preB	Exp100-Sample1.all_Tn5-AATTGG_BC02009_N01
-10.62	13.1	CD8	Exp100-Sample1.all_Tn5-AATTGG_BC02074_N03
-14.33	-1.36	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02149_N01
16.14	-16.56	Mono-2	Exp100-Sample1.all_Tn5-AATTGG_BC02177_N03
-1.71	-24.06	HSPC	Exp100-Sample1.all_Tn5-AATTGG_BC02195_N03
-1.64	25.38	NK	Exp100-Sample1.all_Tn5-AATTGG_BC02314_N03
-23.48	-4.83	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02328_N03
-21.4	4.38	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02495_N03
-19.21	-9.8	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02546_N03
13.48	19.73	preB	Exp100-Sample1.all_Tn5-AATTGG_BC02572_N04
-22.11	0.67	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02702_N03
-20.86	-10.05	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02752_N03
-4.46	24.54	NK	Exp100-Sample1.all_Tn5-AATTGG_BC02767_N04
-17.99	-3.59	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02778_N03
-15.15	4.37	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC02818_N04
9.96	4.6	B	Exp100-Sample1.all_Tn5-AATTGG_BC02950_N02
-17.38	-17.42	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC03244_N02
17.09	-7.32	Mono-2	Exp100-Sample1.all_Tn5-AATTGG_BC03309_N02
17.87	-7.26	Mono-1	Exp100-Sample1.all_Tn5-AATTGG_BC03381_N02
21.94	7.52	proB	Exp100-Sample1.all_Tn5-AATTGG_BC03599_N04
-5.98	-23.02	pDC	Exp100-Sample1.all_Tn5-AATTGG_BC03626_N03
-17.19	5.3	CD4	Exp100-Sample1.all_Tn5-AATTGG_BC03635_N02
0.25	2.24	CD8	Exp100-Sample1.all_Tn5-AATTGG_BC03928_N01
