Cluster ID	About	Gene1	Gene2	Gene3	Gene4	Gene5
TEGLU14	Marker	Cbln1	Ntsr1	Htr1a	Nwd2	Gsg1l
TEGLU14	Specificity	0.00	0.30	0.30	0.30	0.30
TEGLU14	Selectivity	9.00	1.00	1.00	1.00	1.00
TEGLU14	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU5	Marker	Rxfp1	Fermt1	Cbln4	Cemip	Ovol2
TEGLU5	Specificity	0.00	0.90	1.00	1.00	1.00
TEGLU5	Selectivity	5.00	1.00	1.00	1.00	1.00
TEGLU5	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU16	Marker	RP23-231J2.1	Dbpht2	Cdkl4	Nwd2	D630023F18Rik
TEGLU16	Specificity	0.00	0.40	0.80	0.80	1.00
TEGLU16	Selectivity	10.00	1.00	1.00	1.00	1.00
TEGLU16	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU15	Marker	Scube1	Tekt5	Fam19a2	Hrk	Plcxd2
TEGLU15	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU15	Selectivity	8.00	1.00	1.00	1.00	1.00
TEGLU15	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU17	Marker	Trim54	Slc30a3	Lmo3	Nptxr	Fam19a1
TEGLU17	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU17	Selectivity	14.00	1.00	1.00	1.00	1.00
TEGLU17	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU18	Marker	Abi3bp	4930426D05Rik	Ndst4	Klhl14	Rgs14
TEGLU18	Specificity	0.00	0.00	1.00	1.00	1.00
TEGLU18	Selectivity	13.00	2.00	1.00	1.00	1.00
TEGLU18	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU19	Marker	Oxtr	Bmp3	Ndst4	C1ql3	Crym
TEGLU19	Specificity	0.00	0.10	0.90	0.90	1.00
TEGLU19	Selectivity	9.00	1.00	1.00	1.00	1.00
TEGLU19	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU22	Marker	Lypd1	Prss23	Kcng1	C1ql3	Myh7
TEGLU22	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU22	Selectivity	12.00	1.00	1.00	1.00	1.00
TEGLU22	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU21	Marker	Nov	4833422C13Rik	Baiap2l1	6330403A02Rik	Gda
TEGLU21	Specificity	0.00	0.90	0.90	0.90	0.90
TEGLU21	Selectivity	15.00	1.00	1.00	1.00	1.00
TEGLU21	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU4	Marker	Fezf2	RP24-134N2.1	Kcng1	Kcnf1	Galnt9
TEGLU4	Specificity	0.00	0.70	1.00	1.00	1.00
TEGLU4	Selectivity	11.00	1.00	1.00	1.00	1.00
TEGLU4	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU24	Marker	Spink8	Lefty1	Neurod6	4921539H07Rik	Wipf3
TEGLU24	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU24	Selectivity	13.00	1.00	1.00	1.00	1.00
TEGLU24	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU23	Marker	Lpl	Gm26644	Nr4a3	Nptx1	Rnf182
TEGLU23	Specificity	0.00	0.90	1.00	1.00	1.00
TEGLU23	Selectivity	7.00	1.00	1.00	1.00	1.00
TEGLU23	Robustness	1.00	1.00	1.00	1.00	1.00
DGGRC1	Marker	Bhlhe22	Tmem114	Ntf3	Islr2	Gabra5
DGGRC1	Specificity	0.00	0.20	0.10	0.10	0.10
DGGRC1	Selectivity	10.00	1.00	1.00	1.00	1.00
DGGRC1	Robustness	1.00	1.00	1.00	1.00	1.00
DGGRC2	Marker	C1ql2	Nr3c2	Rasl10a	Tubgcp2	Ahcyl2
DGGRC2	Specificity	0.00	1.00	1.00	1.00	1.00
DGGRC2	Selectivity	6.00	1.00	1.00	1.00	1.00
DGGRC2	Robustness	1.00	1.00	1.00	1.00	1.00
MSN1	Marker	Drd1	Ido1	Ppp1r1b	Rgs9	Syndig1l
MSN1	Specificity	0.00	1.00	1.00	1.00	1.00
MSN1	Selectivity	15.00	1.00	1.00	1.00	1.00
MSN1	Robustness	1.00	1.00	1.00	1.00	1.00
MSN2	Marker	Adora2a	Ido1	Penk	Gpr88	Gpr6
MSN2	Specificity	0.00	0.80	0.80	0.80	0.80
MSN2	Selectivity	8.00	1.00	1.00	1.00	1.00
MSN2	Robustness	1.00	1.00	1.00	1.00	1.00
MSN3	Marker	Adora2a	Gpr83	Penk	Gpr88	Gpr6
MSN3	Specificity	0.00	1.00	1.00	1.00	1.00
MSN3	Selectivity	11.00	1.00	1.00	1.00	1.00
MSN3	Robustness	1.00	1.00	1.00	1.00	1.00
MSN4	Marker	Drd1	Dclk3	Mhrt	Rgs9	Rem2
MSN4	Specificity	0.00	0.80	0.80	0.80	0.80
MSN4	Selectivity	17.00	1.00	1.00	1.00	1.00
MSN4	Robustness	1.00	1.00	1.00	1.00	1.00
MSN5	Marker	Drd1	Lrpprc	Foxp2	Gpr88	Rxrg
MSN5	Specificity	0.00	0.50	1.00	1.00	1.00
MSN5	Selectivity	9.00	1.00	1.00	1.00	1.00
MSN5	Robustness	1.00	1.00	1.00	1.00	1.00
MSN6	Marker	Tac1	Wnt2	Isl1	Rgs9	Pcp4l1
MSN6	Specificity	0.00	1.00	1.00	1.00	1.00
MSN6	Selectivity	7.00	1.00	1.00	1.00	1.00
MSN6	Robustness	1.00	1.00	1.00	1.00	1.00
DETPH	Marker	Pde6g	Platr17	1700042O10Rik	Sag	Gnb3
DETPH	Specificity	0.00	0.20	0.80	0.80	1.00
DETPH	Selectivity	5.00	1.00	1.00	1.00	1.00
DETPH	Robustness	1.00	1.00	1.00	1.00	1.00
DGNBL2	Marker	Igfbpl1	Rerg	Sox11	Tubb2b	Syce2
DGNBL2	Specificity	0.00	1.00	1.00	1.00	1.00
DGNBL2	Selectivity	7.00	1.00	1.00	1.00	1.00
DGNBL2	Robustness	1.00	1.00	1.00	1.00	1.00
DGNBL1	Marker	Igfbpl1	Mfap4	Sox11	Mdk	Emx1
DGNBL1	Specificity	0.00	1.00	1.00	1.00	1.00
DGNBL1	Selectivity	5.00	1.00	1.00	1.00	1.00
DGNBL1	Robustness	1.00	1.00	1.00	1.00	1.00
SEPNBL	Marker	Sln	Sost	Ctxn3	Adgrd1	Fzd7
SEPNBL	Specificity	0.00	0.30	0.70	1.00	1.00
SEPNBL	Selectivity	11.00	1.00	1.00	1.00	1.00
SEPNBL	Robustness	1.00	1.00	1.00	1.00	1.00
OBNBL3	Marker	Igfbpl1	Tiam2	Dlx2	Dlx1	Dlx6os1
OBNBL3	Specificity	0.00	1.00	1.00	1.00	1.00
OBNBL3	Selectivity	4.00	1.00	1.00	1.00	1.00
OBNBL3	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH1	Marker	Sp9	Ccsap	Gng4	Pbx3	Tshz1
OBINH1	Specificity	0.00	1.00	1.00	1.00	1.00
OBINH1	Selectivity	5.00	1.00	1.00	1.00	1.00
OBINH1	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH6	Marker	Scgn	Cpne6	Synpr	Isoc1	Pcp4l1
OBINH6	Specificity	0.00	0.50	0.50	0.50	0.50
OBINH6	Selectivity	5.00	1.00	1.00	1.00	1.00
OBINH6	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH2	Marker	Shisa8	Fam184a	Inpp5j	Lgr5	Kank3
OBINH2	Specificity	0.00	1.00	1.00	1.00	1.00
OBINH2	Selectivity	3.00	1.00	1.00	1.00	1.00
OBINH2	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH3	Marker	Gpsm1	Col6a1	Meis2	Kcnh3	Pcp4l1
OBINH3	Specificity	0.00	0.30	0.30	0.30	0.30
OBINH3	Selectivity	4.00	1.00	1.00	1.00	1.00
OBINH3	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH4	Marker	Prok2	Trdn	Inhba	Ppp1r17	Kcnip2
OBINH4	Specificity	0.00	1.00	1.00	1.00	1.00
OBINH4	Selectivity	8.00	1.00	1.00	1.00	1.00
OBINH4	Robustness	1.00	1.00	1.00	1.00	1.00
OBNBL4	Marker	Nppa	Nccrp1	Htr1f	Id2	Nxph1
OBNBL4	Specificity	0.00	0.30	0.30	0.30	0.30
OBNBL4	Selectivity	6.00	1.00	1.00	1.00	1.00
OBNBL4	Robustness	1.00	1.00	1.00	1.00	1.00
OBNBL5	Marker	Nppa	Dlx5	Calb2	Apold1	Nxph1
OBNBL5	Specificity	0.00	1.00	1.00	1.00	1.00
OBNBL5	Selectivity	8.00	1.00	1.00	1.00	1.00
OBNBL5	Robustness	1.00	1.00	1.00	1.00	1.00
OBDOP1	Marker	Trh	Th	Pax6	Lgr5	Syndig1l
OBDOP1	Specificity	0.00	0.10	1.00	1.00	1.00
OBDOP1	Selectivity	11.00	1.00	1.00	1.00	1.00
OBDOP1	Robustness	1.00	1.00	1.00	1.00	1.00
OBINH5	Marker	Crh	Tcap	Pgam2	Pde1c	Nxph1
OBINH5	Specificity	0.00	0.30	0.90	1.00	1.00
OBINH5	Selectivity	13.00	1.00	1.00	1.00	1.00
OBINH5	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH1	Marker	Six3	St8sia4	Esrrg	Lancl3	Fign
DEINH1	Specificity	0.00	0.80	0.80	0.80	0.80
DEINH1	Selectivity	15.00	1.00	1.00	1.00	1.00
DEINH1	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH2	Marker	Six3	Gm2115	Esrrg	Gad1	Ubash3b
DEINH2	Specificity	0.00	0.20	0.20	0.20	0.20
DEINH2	Selectivity	18.00	1.00	1.00	1.00	1.00
DEINH2	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH17	Marker	Pthlh	Cox6a2	Igfbp4	Erbb4	Nxph1
TEINH17	Specificity	0.00	0.10	0.10	0.90	1.00
TEINH17	Selectivity	6.00	1.00	1.00	1.00	1.00
TEINH17	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH18	Marker	Rbp4	Cox6a2	Cort	Kcnc2	Nxph1
TEINH18	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH18	Selectivity	13.00	1.00	1.00	1.00	1.00
TEINH18	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH19	Marker	Sst	Ccna1	Elfn1	Lypd6	Lypd6b
TEINH19	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH19	Selectivity	7.00	1.00	1.00	1.00	1.00
TEINH19	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH21	Marker	Crhbp	Tacr1	Chodl	Gm11744	Cygb
TEINH21	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH21	Selectivity	11.00	1.00	1.00	1.00	1.00
TEINH21	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH16	Marker	Lhx6	Pde11a	Hapln1	Ngf	Kcns3
TEINH16	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH16	Selectivity	5.00	1.00	1.00	1.00	1.00
TEINH16	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH15	Marker	Npy	Ptchd2	Pnoc	Gad2	Resp18
TEINH15	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH15	Selectivity	6.00	1.00	1.00	1.00	1.00
TEINH15	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH14	Marker	Cplx3	Teddm3	Reln	Gad2	Parm1
TEINH14	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH14	Selectivity	5.00	1.00	1.00	1.00	1.00
TEINH14	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH20	Marker	Cyp26b1	Stk32b	Chrm2	Tcerg1l	Nell1
TEINH20	Specificity	0.00	0.00	0.90	0.90	0.90
TEINH20	Selectivity	13.00	3.00	1.00	1.00	1.00
TEINH20	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH13	Marker	Ibsp	Cnr1	Ntng1	Rgs8	Arx
TEINH13	Specificity	0.00	0.30	0.50	0.50	0.50
TEINH13	Selectivity	7.00	1.00	1.00	1.00	1.00
TEINH13	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH12	Marker	Krt73	Stk32b	5330429C05Rik	Egln3	Dlx6os1
TEINH12	Specificity	0.00	0.40	0.40	0.40	0.40
TEINH12	Selectivity	17.00	1.00	1.00	1.00	1.00
TEINH12	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH9	Marker	Vip	Fam181b	Gm8797	Egln3	Usp28
TEINH9	Specificity	0.00	0.10	0.10	0.10	0.10
TEINH9	Selectivity	14.00	1.00	1.00	1.00	1.00
TEINH9	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH10	Marker	Yjefn3	Hdhd3	Npas1	Cck	Trp53i11
TEINH10	Specificity	0.00	0.70	0.70	0.70	0.70
TEINH10	Selectivity	15.00	1.00	1.00	1.00	1.00
TEINH10	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH11	Marker	Col19a1	Slc17a8	Adarb2	Cadps2	Kctd12
TEINH11	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH11	Selectivity	9.00	1.00	1.00	1.00	1.00
TEINH11	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH4	Marker	Vip	Gm17750	Cxcl14	Adra1b	Dlx6os1
TEINH4	Specificity	0.00	0.60	1.00	1.00	1.00
TEINH4	Selectivity	12.00	1.00	1.00	1.00	1.00
TEINH4	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH5	Marker	Vip	Tiam1	Myl1	Vwc2	Dlx6os1
TEINH5	Specificity	0.00	0.70	0.70	0.70	0.70
TEINH5	Selectivity	9.00	1.00	1.00	1.00	1.00
TEINH5	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH8	Marker	Vip	Ccne1	Myl1	Cidea	Usp28
TEINH8	Specificity	0.00	0.10	0.20	0.20	0.20
TEINH8	Selectivity	12.00	1.00	1.00	1.00	1.00
TEINH8	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH7	Marker	Htr3a	Mns1	Npas1	Qpct	Usp28
TEINH7	Specificity	0.00	0.10	0.10	0.10	0.10
TEINH7	Selectivity	11.00	1.00	1.00	1.00	1.00
TEINH7	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH6	Marker	Tac2	Epha7	Npas1	Rgs12	Nr2f2
TEINH6	Specificity	0.00	0.70	0.70	0.70	0.90
TEINH6	Selectivity	7.00	1.00	1.00	1.00	1.00
TEINH6	Robustness	1.00	1.00	1.00	1.00	1.00
TECHO	Marker	Slc5a7	Slc17a8	Chat	Slc10a4	Gm2990
TECHO	Specificity	0.00	0.10	0.10	0.10	0.10
TECHO	Selectivity	18.00	1.00	1.00	1.00	1.00
TECHO	Robustness	1.00	1.00	1.00	1.00	1.00
DECHO1	Marker	Lhx8	Cox6a2	Slc18a3	Ngfr	Slc7a14
DECHO1	Specificity	0.00	0.10	0.90	0.90	0.90
DECHO1	Selectivity	23.00	1.00	1.00	1.00	1.00
DECHO1	Robustness	1.00	1.00	1.00	1.00	1.00
HBCHO4	Marker	Slc5a7	Irx4	Slc18a3	Slc10a4	Cygb
HBCHO4	Specificity	0.00	0.30	0.70	0.80	0.80
HBCHO4	Selectivity	21.00	1.00	1.00	1.00	1.00
HBCHO4	Robustness	1.00	1.00	1.00	1.00	1.00
HBCHO3	Marker	Slc5a7	Tbx20	Adcyap1	AW551984	Tmem26
HBCHO3	Specificity	0.00	0.00	0.10	0.10	0.10
HBCHO3	Selectivity	30.00	2.00	1.00	1.00	1.00
HBCHO3	Robustness	1.00	1.00	1.00	1.00	1.00
HBADR	Marker	Npff	Tfap2b	Chodl	AW551984	Pnmt
HBADR	Specificity	0.00	0.00	0.80	1.00	1.00
HBADR	Selectivity	17.00	2.00	1.00	1.00	1.00
HBADR	Robustness	1.00	1.00	1.00	1.00	1.00
HBNOR	Marker	Afp	Prlh	Phox2b	Casr	Gch1
HBNOR	Specificity	0.00	0.00	0.90	0.90	0.90
HBNOR	Selectivity	17.00	2.00	1.00	1.00	1.00
HBNOR	Robustness	1.00	1.00	1.00	0.90	0.90
HYPEP7	Marker	Pmch	Nkx2-1	Otx1	Klhl13	Fam46a
HYPEP7	Specificity	0.00	0.30	0.30	0.50	0.50
HYPEP7	Selectivity	13.00	1.00	1.00	1.00	1.00
HYPEP7	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP6	Marker	Hcrt	Pdyn	Trhr	Plagl1	Pcsk1
HYPEP6	Specificity	0.00	0.10	0.10	0.90	1.00
HYPEP6	Selectivity	9.00	1.00	1.00	1.00	1.00
HYPEP6	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU14	Marker	Cartpt	Ucn	Chodl	Gm15469	Sdc1
MEGLU14	Specificity	0.00	0.50	1.00	1.00	1.00
MEGLU14	Selectivity	16.00	1.00	1.00	1.00	1.00
MEGLU14	Robustness	1.00	1.00	1.00	1.00	1.00
MBDOP1	Marker	En1	Npw	Ret	D930028M14Rik	C130021I20Rik
MBDOP1	Specificity	0.00	0.80	0.80	0.80	0.90
MBDOP1	Selectivity	10.00	1.00	1.00	1.00	1.00
MBDOP1	Robustness	1.00	1.00	1.00	1.00	1.00
MBDOP2	Marker	Slc6a3	Chrna6	Chrnb3	Ddc	Aldh1a1
MBDOP2	Specificity	0.00	0.60	1.00	1.00	1.00
MBDOP2	Selectivity	8.00	1.00	1.00	1.00	1.00
MBDOP2	Robustness	1.00	1.00	1.00	1.00	1.00
HBSER1	Marker	Slc6a4	Wfdc12	Slc18a2	Fev	C130021I20Rik
HBSER1	Specificity	0.00	0.10	0.10	0.10	0.10
HBSER1	Selectivity	14.00	1.00	1.00	1.00	1.00
HBSER1	Robustness	1.00	1.00	1.00	1.00	1.00
HBSER2	Marker	Tph2	Slc17a8	Maob	Fev	Slc22a3
HBSER2	Specificity	0.00	0.30	0.40	0.40	0.40
HBSER2	Selectivity	17.00	1.00	1.00	1.00	1.00
HBSER2	Robustness	1.00	1.00	1.00	1.00	1.00
HBSER3	Marker	Gchfr	Il1r1	Slc18a2	Fev	Slc22a3
HBSER3	Specificity	0.00	0.90	0.90	0.90	0.90
HBSER3	Selectivity	10.00	1.00	1.00	1.00	1.00
HBSER3	Robustness	1.00	1.00	1.00	1.00	1.00
HBSER5	Marker	Tph2	5031425F14Rik	Slc18a2	Fev	Slc22a3
HBSER5	Specificity	0.00	0.10	0.10	0.10	0.10
HBSER5	Selectivity	14.00	1.00	1.00	1.00	1.00
HBSER5	Robustness	1.00	1.00	1.00	1.00	1.00
HBSER4	Marker	Trh	Pgr15l	Slc18a2	Gabre	Nkx6-1
HBSER4	Specificity	0.00	0.60	0.60	0.60	0.60
HBSER4	Selectivity	21.00	1.00	1.00	1.00	1.00
HBSER4	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH3	Marker	Ecel1	Tmem215	Peg10	Amigo2	Adra2a
TEINH3	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH3	Selectivity	11.00	1.00	1.00	1.00	1.00
TEINH3	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH2	Marker	A230065H16Rik	Zic1	Cacna2d2	Arhgap6	Dgkg
TEINH2	Specificity	0.00	1.00	1.00	1.00	1.00
TEINH2	Selectivity	2.00	1.00	1.00	1.00	1.00
TEINH2	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH4	Marker	Lhx8	Rmst	Dgkk	Ppp1r17	RP23-366O14.4
DEINH4	Specificity	0.00	0.70	0.70	1.00	1.00
DEINH4	Selectivity	14.00	1.00	1.00	1.00	1.00
DEINH4	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH5	Marker	Nts	Dlk1	Dgkk	AW551984	Zcchc12
DEINH5	Specificity	0.00	0.90	0.90	1.00	1.00
DEINH5	Selectivity	7.00	1.00	1.00	1.00	1.00
DEINH5	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP3	Marker	Fezf1	Baiap3	Hap1	A730017C20Rik	Myh7
HYPEP3	Specificity	0.00	0.30	0.30	0.30	0.30
HYPEP3	Selectivity	9.00	1.00	1.00	1.00	1.00
HYPEP3	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP1	Marker	Trh	Ngb	Peg10	Gabre	Resp18
HYPEP1	Specificity	0.00	0.90	1.00	1.00	1.00
HYPEP1	Selectivity	13.00	1.00	1.00	1.00	1.00
HYPEP1	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP2	Marker	Ucn3	Baiap3	Pkib	Tmie	Fam46a
HYPEP2	Specificity	0.00	0.10	0.10	0.10	0.30
HYPEP2	Selectivity	12.00	1.00	1.00	1.00	1.00
HYPEP2	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH14	Marker	Rln3	Gpx3	Gata3	Nnat	Pcdh11x
MEINH14	Specificity	0.00	0.70	0.70	0.70	0.90
MEINH14	Selectivity	6.00	1.00	1.00	1.00	1.00
MEINH14	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH6	Marker	Otp	Cited1	Asb4	Tmie	Mboat7
DEINH6	Specificity	0.00	0.70	0.70	0.80	0.90
DEINH6	Selectivity	6.00	1.00	1.00	1.00	1.00
DEINH6	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH8	Marker	Six6	Rgs16	Pkib	Scg2	Rab26os
DEINH8	Specificity	0.00	1.00	1.00	1.00	1.00
DEINH8	Selectivity	11.00	1.00	1.00	1.00	1.00
DEINH8	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH7	Marker	Avp	Rgs16	Pkib	Rasd1	Gadd45g
DEINH7	Specificity	0.00	0.70	0.70	0.70	0.70
DEINH7	Selectivity	5.00	1.00	1.00	1.00	1.00
DEINH7	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP5	Marker	Avp	H2-DMb2	Sim1	Angpt1	Pcsk1
HYPEP5	Specificity	0.00	0.60	0.60	0.60	0.60
HYPEP5	Selectivity	12.00	1.00	1.00	1.00	1.00
HYPEP5	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP4	Marker	Oxt	Fam183b	Sim1	Nog	Caprin2
HYPEP4	Specificity	0.00	0.70	0.70	0.70	0.80
HYPEP4	Selectivity	10.00	1.00	1.00	1.00	1.00
HYPEP4	Robustness	1.00	1.00	1.00	1.00	1.00
HYPEP8	Marker	Gnrh1	Gng8	Smim22	Acbd7	Fam92b
HYPEP8	Specificity	0.00	0.50	0.50	0.60	0.90
HYPEP8	Selectivity	9.00	1.00	1.00	1.00	1.00
HYPEP8	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH11	Marker	Pkd2l1	Pdzk1ip1	Pkd1l2	Espn	Crct1
SCINH11	Specificity	0.00	0.10	0.10	0.10	0.20
SCINH11	Selectivity	13.00	1.00	1.00	1.00	1.00
SCINH11	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH10	Marker	Hoxb9	Tacr3	Pnoc	Aard	1500009L16Rik
SCINH10	Specificity	0.00	0.20	0.20	0.90	0.90
SCINH10	Selectivity	24.00	1.00	1.00	1.00	1.00
SCINH10	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH9	Marker	Serpinb1b	Hoxb5os	Skor1	Sstr2	Lgals9
SCINH9	Specificity	0.00	0.00	0.00	0.10	0.10
SCINH9	Selectivity	19.00	1.00	1.00	1.00	1.00
SCINH9	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH8	Marker	Serpinb1b	Rspo3	Hoxb6	B3gat2	Fam159b
SCINH8	Specificity	0.00	0.00	0.20	0.20	0.20
SCINH8	Selectivity	17.00	2.00	1.00	1.00	1.00
SCINH8	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH7	Marker	Krt17	Nrl	Hoxb6	Lhx1	Slc16a11
SCINH7	Specificity	0.00	0.40	0.40	0.90	0.90
SCINH7	Selectivity	23.00	1.00	1.00	1.00	1.00
SCINH7	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH6	Marker	Hoxb8	Pcsk5	Hoxb6	Frzb	Hoxb2
SCINH6	Specificity	0.00	0.10	0.10	0.10	0.10
SCINH6	Selectivity	29.00	1.00	1.00	1.00	1.00
SCINH6	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH5	Marker	Serpinb1b	Gbx1	Hoxb6	Gm5	P2ry1
SCINH5	Specificity	0.00	0.20	0.20	0.20	0.20
SCINH5	Selectivity	28.00	1.00	1.00	1.00	1.00
